horizon,policy,granularity,period,n_train,n_test,mae,rmse,r2
1,monthly_rolling_12m,month,2018-11,365,30,0.9162397192631893,1.1254981271241375,0.23865301398122973
1,monthly_rolling_12m,month,2018-12,365,31,0.41533559221332716,0.5207473485054116,0.6182217012344338
1,monthly_rolling_12m,month,2019-01,365,31,0.799842368892452,0.9880767412960225,-0.015631553475125015
1,monthly_rolling_12m,month,2019-02,365,28,0.28015750994331395,0.33984942713202576,0.28014830775402444
1,monthly_rolling_12m,month,2019-03,365,31,0.39830097477263954,0.4537158942058033,0.7198594603905125
1,monthly_rolling_12m,month,2019-04,365,30,1.0358576600976401,1.1413943104244224,-0.6874186870293126
1,monthly_rolling_12m,month,2019-05,365,31,0.9737904998354798,1.1145314496709908,0.12378681530424929
1,monthly_rolling_12m,month,2019-06,365,30,0.5598824734129145,0.6750815969002522,-0.05212817111136636
1,monthly_rolling_12m,month,2019-07,365,31,0.6765120281449165,0.8663425021246329,0.4277479672814979
1,monthly_rolling_12m,month,2019-08,365,31,0.6268309727363094,0.7865252799112701,0.4160389009097275
1,monthly_rolling_12m,month,2019-09,365,30,0.7253003841702333,0.8576232794125381,0.22326349332197004
1,monthly_rolling_12m,month,2019-10,365,31,0.6058729855818022,0.7142592550206335,0.03725198662574081
1,monthly_rolling_12m,month,2019-11,365,30,0.5785215377040137,0.9054438620860834,0.3211841018524817
1,monthly_rolling_12m,month,2019-12,365,31,0.6697472434804351,0.8023494042730939,0.537701014450217
1,monthly_rolling_12m,month,2020-01,365,31,0.4678677978723581,0.5620273159900047,0.35861310330863283
1,monthly_rolling_12m,month,2020-02,365,29,0.4917995822216143,0.612278423054101,0.31787500339477415
1,monthly_rolling_12m,month,2020-03,366,31,0.3320139780473468,0.4001906674876843,0.2463685236469828
1,monthly_rolling_12m,month,2020-04,366,30,0.5772162232474852,0.7273744274999285,0.3498905002419803
1,monthly_rolling_12m,month,2020-05,366,31,0.8398150057722231,0.986421831087269,0.21953097761406937
1,monthly_rolling_12m,month,2020-06,366,30,0.8970260657064855,1.1119111866931817,0.07382838632598754
1,monthly_rolling_12m,month,2020-07,366,31,0.7899169663665476,0.9597485663566062,-0.24307503933329944
1,monthly_rolling_12m,month,2020-08,366,31,0.8067012416797584,0.9993921514692291,0.4305830010002252
1,monthly_rolling_12m,month,2020-09,366,30,0.5326042040834532,0.7177844915074251,0.39135903573706754
1,monthly_rolling_12m,month,2020-10,366,31,0.5667877573450364,0.7157766368002426,0.3134846450942681
1,monthly_rolling_12m,month,2020-11,366,30,0.5319516863485142,0.611499316179753,0.34910592542264696
1,monthly_rolling_12m,month,2020-12,366,31,0.46901289343156793,0.6011366230332,0.4993483720528792
1,monthly_rolling_12m,month,2021-01,366,31,0.9505502990639381,1.301267703126011,-0.22863929466498223
1,monthly_rolling_12m,month,2021-02,366,28,0.5597918900730828,0.7007791809412436,0.4528773145393795
1,monthly_rolling_12m,month,2021-03,365,31,0.3816172905217846,0.49237539132728336,0.5363978619188674
1,monthly_rolling_12m,month,2021-04,365,30,0.6608556183657995,0.825900496914656,0.0369282321104929
1,monthly_rolling_12m,month,2021-05,365,31,0.8579853592540718,1.034835173203655,0.5654497153552172
1,monthly_rolling_12m,month,2021-06,365,30,0.7015295026812008,0.8622966530910199,0.3260554643301067
1,monthly_rolling_12m,month,2021-07,365,31,0.8620932342444307,1.033976878970604,0.13806190793284634
1,monthly_rolling_12m,month,2021-08,365,31,0.6313365723727626,0.7438407327164728,0.3904386412267571
1,monthly_rolling_12m,month,2021-09,365,30,0.46020895978842896,0.5802880234250284,0.0027287139508583858
1,monthly_rolling_12m,month,2021-10,365,31,0.7282694346263113,0.8813196953989344,-0.1574027068220023
1,monthly_rolling_12m,month,2021-11,365,30,0.6531915185583392,0.7968308440274873,0.3446801589497803
1,monthly_rolling_12m,month,2021-12,365,31,0.6172587695972709,0.7571751983047221,0.3062941955986862
1,monthly_rolling_12m,month,2022-01,365,31,0.44781097253334917,0.5466259801738056,-0.025817246624520784
1,monthly_rolling_12m,month,2022-02,365,28,0.4356033783345835,0.575552784370266,0.26741522113466143
1,monthly_rolling_12m,month,2022-03,365,31,0.6576175859074259,0.8094706762089656,-0.06690665434116316
1,monthly_rolling_12m,month,2022-04,365,30,0.7037445786930239,0.9601682495077098,0.38284284860132856
1,monthly_rolling_12m,month,2022-05,365,31,0.8239317325432196,1.006284046783367,0.25639145442513456
1,monthly_rolling_12m,month,2022-06,365,30,0.8480859627133622,1.037937652478464,0.18710963363186695
1,monthly_rolling_12m,month,2022-07,365,31,0.766801023708227,0.9248248499039855,0.21345046518379718
1,monthly_rolling_12m,month,2022-08,365,31,0.6833342740073393,0.8682553903827143,0.046980197539500335
1,monthly_rolling_12m,month,2022-09,365,30,0.5811200645981298,0.7563185533425809,0.2577196223582783
1,monthly_rolling_12m,month,2022-10,365,31,0.72612680603669,0.8732666071946332,0.05413864336755625
1,monthly_rolling_12m,month,2022-11,365,30,0.6329906903623592,0.7966220107719663,0.444496999259129
1,monthly_rolling_12m,month,2022-12,365,31,0.7377805114625742,0.9384705356532996,0.16123736930262755
1,monthly_rolling_12m,month,2023-01,365,31,0.5673047833530979,0.7371220734129851,0.49792467113532257
1,monthly_rolling_12m,month,2023-02,365,28,0.42585486370893655,0.5259720172460747,0.32925870443496486
1,monthly_rolling_12m,month,2023-03,365,31,0.3792513761445985,0.5118861088299494,0.763012855737236
1,monthly_rolling_12m,month,2023-04,365,30,1.048155651811174,1.1535811962505098,-2.3779180356173333
1,monthly_rolling_12m,month,2023-05,365,31,0.8911525150444864,1.073673717485563,0.4079074425681618
1,monthly_rolling_12m,month,2023-06,365,30,0.6464842301580752,0.9273970909297945,0.18538130745988657
1,monthly_rolling_12m,month,2023-07,365,31,0.6175109387945734,0.7756474984530238,0.36493243714407675
1,monthly_rolling_12m,month,2023-08,365,31,0.5707816860669784,0.6795561163721818,0.3669598721867692
1,monthly_rolling_12m,month,2023-09,365,30,0.5007372748516865,0.6931501394302748,-0.19794826078509464
1,monthly_rolling_12m,month,2023-10,365,31,0.5714918242963746,0.7574671947650385,0.08295904325823511
1,monthly_rolling_12m,month,2023-11,365,30,0.5835643011476447,0.7203226489073072,0.05515893760934798
1,monthly_rolling_12m,month,2023-12,365,31,0.6006031530857624,0.7202975634126474,0.17262243993938642
1,monthly_rolling_12m,month,2024-01,365,31,0.375065676156786,0.4681656933125453,0.3386362382083068
1,monthly_rolling_12m,month,2024-02,365,29,0.4839315973113948,0.5985350081577259,0.29099794044359173
1,monthly_rolling_12m,month,2024-03,366,31,0.35225295297542875,0.4529016108189175,0.3949656409203265
1,monthly_rolling_12m,month,2024-04,366,30,0.7274103909971811,0.9537471202847819,-0.8612486359130667
1,monthly_rolling_12m,month,2024-05,366,31,0.9457520989318079,1.1389083297133809,0.10063145141818708
1,monthly_rolling_12m,month,2024-06,366,30,0.7843121534126494,0.9615696199450942,0.46190759681522797
1,monthly_rolling_12m,month,2024-07,366,31,0.6330838216973684,0.7378101059964797,0.48137844139721864
1,monthly_rolling_12m,month,2024-08,366,31,0.6452433740177935,0.8263308563773514,0.48009523545924004
1,monthly_rolling_12m,month,2024-09,366,30,0.6584175839919876,0.793584589799535,0.5607027754134374
1,monthly_rolling_12m,month,2024-10,366,31,0.7761106952918242,1.0089631868987445,-0.06801795931082166
1,monthly_rolling_12m,month,2024-11,366,30,0.5292799967456279,0.6834862880967559,0.2772126812999127
1,monthly_rolling_12m,month,2024-12,366,31,0.957364667718486,1.197214706280308,-0.5951632355175731
1,monthly_rolling_12m,month,2025-01,366,31,0.8027297689478587,1.0533937630606145,-0.07669883044513015
1,monthly_rolling_12m,month,2025-02,366,28,0.4875460611041421,0.6386334205537147,0.37560978238085563
1,monthly_rolling_12m,month,2025-03,365,31,0.5818881067161709,0.7041385800963254,0.012692694735088605
1,monthly_rolling_12m,month,2025-04,365,30,0.5072465428130655,0.6152748238053128,-0.03416845629926635
1,monthly_rolling_12m,month,2025-05,365,31,0.7444244569704003,0.9797016773180616,0.24469163375796732
1,monthly_rolling_12m,month,2025-06,365,30,0.6297171316451623,0.7873705517781499,0.1657838238940772
1,monthly_rolling_12m,month,2025-07,365,31,0.7329522396622775,0.8676004337837,0.19963042409128184
1,monthly_rolling_12m,month,2025-08,365,31,0.791544763053253,1.0327907002422037,0.43818946928738056
1,monthly_rolling_12m,month,2025-09,365,30,0.699929878829498,0.8935339877856768,0.0670924794929415
1,monthly_rolling_12m,month,2025-10,365,31,0.5882545252628959,0.7062064958528095,0.2591169611870444
1,monthly_rolling_12m,month,2025-11,365,15,0.6215751003788573,0.753189471720099,-0.10665194702401903
2,never_retrain,year,2020,1796,366,0.735723738522064,0.9123504537957925,0.5577302716654388
2,never_retrain,year,2021,1796,365,0.767992262807518,0.9469283871426211,0.5531144809835287
2,never_retrain,year,2022,1796,365,0.8083409082961237,1.0112393697062305,0.26371606924393176
2,never_retrain,year,2023,1796,365,0.716060856154801,0.8983103850086164,0.4853844858841707
2,never_retrain,year,2024,1796,366,0.765611884007413,0.9700978366527099,0.6298166028321073
2,never_retrain,year,2025,1796,318,0.7937593104089129,0.9774813900056135,0.4799816121719397
2,yearly_expanding,year,2020,1796,366,0.7357237385220645,0.9123504537957929,0.5577302716654382
2,yearly_expanding,year,2021,2162,365,0.757299248272819,0.9386776664641419,0.5608681071520238
2,yearly_expanding,year,2022,2527,365,0.7912232208591967,1.0048799913324364,0.27294748454814555
2,yearly_expanding,year,2023,2892,365,0.7116008935123938,0.8906440429399941,0.4941306476315984
2,yearly_expanding,year,2024,3257,366,0.7600603324603328,0.9663322034178615,0.6326849102365805
2,yearly_expanding,year,2025,3623,318,0.7750594342809691,0.9609800463464326,0.4973907867238566
2,monthly_expanding,month,2016-01,335,31,0.8340437548523877,0.9988050518600422,-1.0912326190731991
2,monthly_expanding,month,2016-02,366,29,0.7068056362092715,1.090627272746489,-0.017497467519531407
2,monthly_expanding,month,2016-03,395,31,0.3559486658085466,0.44140981513193633,0.18906988945901881
2,monthly_expanding,month,2016-04,426,30,1.0923488597392539,1.2333893838436214,-1.1479494124038419
2,monthly_expanding,month,2016-05,456,31,1.038796347103953,1.181024700065534,0.42506224197250886
2,monthly_expanding,month,2016-06,487,30,1.015226108009086,1.2441100908358718,0.06205970488306167
2,monthly_expanding,month,2016-07,517,31,0.5985582718194747,0.7504572819549459,-0.03259028673575126
2,monthly_expanding,month,2016-08,548,31,0.5445107398071669,0.6507672644689363,0.0747053263988916
2,monthly_expanding,month,2016-09,579,30,0.8254999295967779,1.012531644067193,-0.26833124470944036
2,monthly_expanding,month,2016-10,609,31,0.972345309128849,1.153313673480895,-1.5056007226946746
2,monthly_expanding,month,2016-11,640,30,0.9998137271826827,1.0988866686886858,0.18690065197810435
2,monthly_expanding,month,2016-12,670,31,0.915551766342293,1.258653955012722,-0.6105211013528726
2,monthly_expanding,month,2017-01,701,31,0.6359757263800473,0.8643997071345326,-0.10410949103575007
2,monthly_expanding,month,2017-02,732,28,0.5971603533217588,0.7320300937275012,0.049565510105213706
2,monthly_expanding,month,2017-03,760,31,0.6431065770211749,0.9003483717012747,0.11750602669126087
2,monthly_expanding,month,2017-04,791,30,0.7636802242210418,0.9124508495079191,-0.029483956159855662
2,monthly_expanding,month,2017-05,821,31,0.8870521182471213,1.0824069603452489,-0.6194117877045864
2,monthly_expanding,month,2017-06,852,30,0.8078791370903051,0.9419242742257842,0.1020935751687373
